run_key                                 , modality    , input_type, condition, run_id        , steps, norm_od_mae         , norm_od_rmse        , norm_od_r2          , growth_rate_mae     , growth_rate_rmse    , growth_rate_r2       , od_45_mae            , od_45_rmse           , od_45_r2           , od_90_mae            , od_90_rmse           , od_90_r2             , od_135_mae          , od_135_rmse         , od_135_r2          , nm_415_mae           , nm_415_rmse          , nm_415_r2          , nm_445_mae           , nm_445_rmse         , nm_445_r2           , nm_480_mae           , nm_480_rmse         , nm_480_r2           , nm_515_mae          , nm_515_rmse         , nm_515_r2            , nm_555_mae          , nm_555_rmse         , nm_555_r2           , nm_590_mae           , nm_590_rmse         , nm_590_r2           , nm_630_mae           , nm_630_rmse         , nm_630_r2             , nm_680_mae          , nm_680_rmse         , nm_680_r2
mackey_glass:chem:glucose:20260901143358, mackey_glass, chem      , glucose  , 20260901143358,    73, 0.17972102524527916 , 0.1820487624646112  , -66.17617252756463  , 0.05477606159626916 , 0.05807017151507305 , -7.627051553555656   , 0.12894698303965693  , 0.14608435920198035  , -1.9249458865508355, 0.013920654342734099 , 0.015390719322865832 , -7.447539281330178   , 0.0290950329086961  , 0.0314559941332995  , -3.906676621960284 , 0.0019779179184676696, 0.0021696234176785804, -2.485632137405489 , 0.012757419539368878 , 0.014086668787285414, -1.4437791626699785 , 0.01796133048240455  , 0.019785955285768073, -2.1456562431404347 , 0.02336364954465058 , 0.025611579870134408, -2.602269834636441   , 0.028840391224377794, 0.03145597204077721 , -3.0344703335417167 , 0.02914893401050134  , 0.03186998160803688 , -2.951175278502218  , 0.030461066366875036 , 0.033135855820485664, -3.4662045934344343   , 0.019776989072425224, 0.021419975057889555, -3.856013819219931
mackey_glass:chem:nitro:20260901224037  , mackey_glass, chem      , nitro    , 20260901224037,    73, 0.5028305379908582  , 0.5741803260627467  , 0.4928320360429931  , 0.04379295340032928 , 0.052127488634830396, -0.15753076218218331 , 0.32855484627261405  , 0.345269729879198    , -8.972597510975557 , 0.09271422426463631  , 0.09381969378690089  , -191.37102550890404  , 0.14490987573153363 , 0.1456699838051394  , -51.200053117985455, 0.02348002091411443  , 0.02348609842461236  , -109.2921155291599 , 0.20057586737468652  , 0.20064682481160348 , -103.46043978146524 , 0.2337015719284552   , 0.23378792258481615 , -101.51156140647768 , 0.26243892069760694 , 0.2625005170881477  , -111.99200571291308  , 0.2955286458022939  , 0.29558584670959503 , -114.01631493519695 , 0.28571918113274797  , 0.2857966103468321  , -107.97703359286112 , 0.27487800279135344  , 0.2749229301529003  , -108.51678240082332   , 0.1703437682598663  , 0.17038029584815317 , -105.69966256839332
mackey_glass:chem:salt:20260901143936   , mackey_glass, chem      , salt     , 20260901143936,    74, 0.07357708379591342 , 0.0851102014435345  , -0.9028376002554244 , 0.05469993461810022 , 0.06356546056024584 , -2.760769766937586   , 0.01719310882424523  , 0.021339020674696174 , -0.6603517008780877, 0.015158037870213048 , 0.01756616953309338  , -1.1485349187286555  , 0.020028071341391424, 0.023419849784097273, -4.0918365714775815, 0.002855063367605231 , 0.0028716461237166587, -192.2750668118936 , 0.03092352090533142  , 0.03104150262743954 , -346.0708994639406  , 0.030957711332351683 , 0.031164541992985167, -193.1474560410601  , 0.03094043566566104 , 0.031202545141204345, -156.22561657161057  , 0.030703640280715667, 0.031063399181062795, -111.52928765046869 , 0.022127467585994123 , 0.022665270580185325, -57.185097943299255 , 0.01643134199137761  , 0.017041788217883345, -35.59266368600338    , 0.010748142746427701, 0.011117529146094289, -38.10985166939723
mackey_glass:chem:sulfur:20260902080307 , mackey_glass, chem      , sulfur   , 20260902080307,    72, 1.6651431159267274  , 1.7558687527764223  , -3.8880024615844375 , 0.04030860149638711 , 0.05981200646974152 , -0.7257103353840055  , 0.13495434483557212  , 0.14963921470525568  , -3.891035955051372 , 0.07940053744576756  , 0.07996907489561106  , -17.300158771029107  , 0.09451686889709941 , 0.09655709663829687 , -14.071791878744667, 0.01875168958554669  , 0.01879452895748228  , -40.0500826805873  , 0.16437400462781945  , 0.16477665142567838 , -40.98769188311225  , 0.18860104860199822  , 0.18912237571532353 , -37.79858653096043  , 0.21286585342001035 , 0.2133509327481368  , -40.96311248821557   , 0.2390630734673253  , 0.23956494197830427 , -41.59648434788223  , 0.22895485210197947  , 0.22951273006688225 , -38.97973197103403  , 0.219138700346152    , 0.2195656663919478  , -39.3310124141315     , 0.13419558735909287 , 0.1344838668484936  , -38.2333526206869
mackey_glass:temp:temp:20260831100538   , mackey_glass, temp      , temp     , 20260831100538,   273, 0.9139214414122057  , 1.0587436382997266  , -10965.825021423434 , 0.02747643405784623 , 0.033426678123324303, -0.8562758251902314  , 0.177785787856454    , 0.18106929156708512  , -364.8519452660571 , 0.07326682597598178  , 0.08091017870127287  , -211.48715862995363  , 0.0845849879998028  , 0.08754098670218234 , -2706.134991183198 , 0.012688146630448198 , 0.013547474623522609 , -1192.0513537083634, 0.1082920631988376   , 0.11474715687907229 , -448.3549439520861  , 0.12468297070673869  , 0.13274083606970394 , -632.2418068667973  , 0.13737363938432118 , 0.14727899406426606 , -1106.7974350893999  , 0.1557639908498409  , 0.167436600453574   , -1672.378695992163  , 0.15088522512977032  , 0.16268782259216402 , -2711.007739266136  , 0.14442839698960971  , 0.1562226401064466  , -3708.0706358774737   , 0.08994581970820827 , 0.09699374880898781 , -4075.8553091848607
mackey_glass:uv:uv:20260831095938       , mackey_glass, uv        , uv       , 20260831095938,    98, 0.8122213366452903  , 0.9617669761818444  , -1323.6212064152833 , 0.023102497651550587, 0.028085324097173743, -0.692439163597949   , 0.09829892914335846  , 0.10446409748311944  , -82.36438921562014 , 0.050150511948914386 , 0.05712832103770361  , -982.7980697061665   , 0.05737892057167571 , 0.061065138385533894, -148.38564416367893, 0.00954210123156207  , 0.010733372176472968 , -51.275501854914275, 0.07961634317060721  , 0.08823706666356766 , -122.06072977821884 , 0.0950358775667593   , 0.1052203874402765  , -136.76807536063097 , 0.10754716223518866 , 0.1196065312844048  , -197.33246104739084  , 0.12058223214927986 , 0.13442230815808917 , -186.91190660324864 , 0.11559435070534145  , 0.12902642538118586 , -175.83709703368723 , 0.11070696085732001  , 0.1241497459679691  , -182.47784461960197   , 0.06846554492241673 , 0.07657118401950612 , -185.36565476975537
pulse:chem:control:20260705115653       , pulse       , chem      , control  , 20260705115653,    98, 0.48085932489788724 , 0.4827478409657109  , -302.43479766705565 , 0.021575493072270913, 0.02343621018476658 , -0.022409035845402325, 0.003489762023597304 , 0.00396262752300192  , 0.4651176434272647 , 0.007093269079488821 , 0.007690100128074764 , -0.9097374214322     , 0.007964051217845885, 0.008728248669997548, -1.8585817885838831, 0.0017001106492719226, 0.0017475559635033136, -3.0573722795228626, 0.015354931953812974 , 0.015699360539804495, -4.107390658221112  , 0.018302260741084635 , 0.018696351932984863, -3.7926878765761627 , 0.020314986215967733, 0.020875328829677606, -3.4724199385412797  , 0.022292763387264845, 0.02294163378055984 , -3.250017011945168  , 0.020909626941291646 , 0.021649900891345813, -2.711169842174877  , 0.01856529046240307  , 0.019392966667859855, -2.1051913919440293   , 0.011237948493892667, 0.011773878284284897, -1.874530887624854
pulse:chem:glucose:20260709215429       , pulse       , chem      , glucose  , 20260709215429,   146, 0.17142128335417    , 0.17908566867270706 , -47.17904448906136  , 0.019198349993732662, 0.023850764472750804, -0.6468932282158666  , 0.1051640379092833   , 0.12916756975307161  , -144.98320982592344, 0.015908323444599082 , 0.019461150799080416 , -37.25554992324441   , 0.034076631591430706, 0.04269559443518809 , -75.5797255292577  , 0.00398182143541899  , 0.004708211530896807 , -77.98023301850395 , 0.034199833442922496 , 0.040030190250894764, -77.12424613167377  , 0.0392478736167472   , 0.0462812094406334  , -74.23835309849355  , 0.042382473716493604, 0.051235892248076315, -65.60005653981207   , 0.048626894961162605, 0.057832760637147394, -68.34602840168785  , 0.04623936942921525  , 0.054937333450355834, -68.3828129038048   , 0.044246312110935694 , 0.052199706756648756, -70.99474935225656    , 0.026640879024109308, 0.0317201216681566  , -70.87451100221207
pulse:chem:glucose:20260902182036       , pulse       , chem      , glucose  , 20260902182036,   108, 2.7494695148177506  , 2.7618166208453023  , -469.26492228177983 , 0.020668053519425345, 0.028909822511470347, -0.3134407952789051  , 0.02787100544545682  , 0.028891566243242715 , -11.772311039289981, 0.03874685629972812  , 0.040603504555470696 , -25.48382293612859   , 0.056689569042289126, 0.05696790004358489 , -179.74910548805352, 0.013528808410724291 , 0.013649691096117586 , -379.0426498946784 , 0.1106068354299532   , 0.11162173503897041 , -397.01570606069714 , 0.12949148535934354  , 0.13067338369921552 , -351.59754722409656 , 0.1509128211067982  , 0.1521568338927083  , -387.0986275294065   , 0.170918744603469   , 0.1723882571603486  , -379.13613091579714 , 0.16410170433029866  , 0.16539937746102426 , -353.9790053380669  , 0.15864262318343278  , 0.16009318375864143 , -354.73083930529594   , 0.09726422905930257 , 0.09813698457867145 , -336.2234307852289
pulse:chem:glucose:20260903094345       , pulse       , chem      , glucose  , 20260903094345,   122, 4.514317491262038   , 4.5169312755842705  , -430.93929937058135 , 0.011003926956920308, 0.012281980570257053, -2.5610081504577162  , 0.03172004104220979  , 0.031866655977389684 , -20.12512932648568 , 0.03954226335368589  , 0.040659728111903305 , -20.929358136681397  , 0.002341451243752265, 0.002791239364224   , 0.9085486400080149 , 0.001894969934175902 , 0.002272392712537353 , -1.9090767229774288, 0.014970163401814627 , 0.018836542241764422, -2.2994031676007527 , 0.014922277644782694 , 0.01895678003128359 , -0.8785641168424139 , 0.0193973022395079  , 0.023378753610508448, -1.189233054550562   , 0.022877442360372088, 0.027348494327636332, -1.3542558316659274 , 0.017900073249246657 , 0.02241160031966318 , -0.49879711134749316, 0.018407522786305284 , 0.02324475072684365 , -0.6953873380023745   , 0.008727711041835024, 0.012042619434222383, -0.1553829403716258
